"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"112" "YIL125W" 1.45886365590046e-12 8.83693151564889e-11 1.66371820665868 25.249865335896
"113" "YMR105C" 1.76334085776704e-12 9.94463438923446e-11 3.33542632086523 24.8828828532149
"114" "YAL061W" 1.97856760872988e-12 1.08771338624461e-10 3.04768410470547 24.6624313220819
"115" "YKR067W" 1.6995040897663e-12 9.77893049315300e-11 1.77972468050819 24.9538679836407
"116" "YGR130C" 1.65956508834328e-12 9.69363822137653e-11 1.68289185833027 24.9997515344233
"117" "YAL005C" 1.74086203801695e-12 9.90323430670163e-11 1.78074691869369 24.9075593071456
"118" "YBR299W" 2.42024662952583e-12 1.27687527825467e-10 4.84144250609604 24.2812189494165
"119" "YEL060C" 2.06116475232346e-12 1.12367831747501e-10 2.42379655471394 24.5845942045195
"120" "YCR010C" 1.87108242457288e-12 1.03734078148778e-10 6.96460761183731 24.7691188400198
"121" "YLR372W" 2.20642386016379e-12 1.19292767712326e-10 -1.67700854836095 -24.4555061068393
"122" "YNL200C" 2.95913322419902e-12 1.47146967371129e-10 3.0748619547551 23.9065300611481
"123" "YGL121C" 1.79369346244379e-12 1.0029352676331e-10 5.59816625900267 24.8500937926504
"124" "YKR046C" 2.33877322720656e-12 1.25411921740863e-10 1.55274941587075 24.3456020890151
"125" "YML056C" 2.74679187110124e-12 1.41492223785388e-10 -2.29581947435749 -24.0446684448527
"126" "YLR359W" 2.40918251607088e-12 1.27687527825467e-10 -1.76310100201156 -24.2898244291037
"127" "YIR038C" 2.96005866967612e-12 1.47146967371129e-10 2.93031206923873 23.9059515797049
"128" "YDL078C" 2.50468110281536e-12 1.31084990196945e-10 1.4760392897595 24.2169072487803
"129" "YPL135W" 2.65982174368803e-12 1.38099633707993e-10 1.84086796532021 24.104592862939
"130" "YLR345W" 2.91364032405436e-12 1.47146967371129e-10 2.41534172692119 23.9352090942999
"131" "YLR284C" 3.3218560332125e-12 1.62175986337882e-10 3.3093154585629 23.6935314467697
"132" "YPL134C" 3.20422920419285e-12 1.57609529728042e-10 2.93232959088837 23.7597478212437
"133" "YOL086C" 2.8218857664572e-12 1.44224817845023e-10 -1.66392108288028 -23.9945441614644
"134" "YBR084W" 2.9690308304783e-12 1.47146967371129e-10 -1.62257926253826 -23.9003532736381
"135" "YNL194C" 4.03613459911682e-12 1.89959658614548e-10 3.51513093087533 23.3388540790716
"136" "YJR148W" 3.91249479667546e-12 1.86828766130298e-10 2.20432605384555 23.3951686383536
"137" "YJL190C" 3.46492367332104e-12 1.67907634599009e-10 -1.73181150159892 -23.6163081647151
"138" "YHR010W" 3.65088317977413e-12 1.75618218838841e-10 -1.51985342133929 -23.5209011913316
"139" "YPL123C" 5.06532984154061e-12 2.25424406961623e-10 2.55994880335004 22.9316413678011
"140" "YBR054W" 4.69157684787676e-12 2.13140942630624e-10 5.07772367753892 23.0682994990682
"141" "YDL014W" 3.97494402537107e-12 1.88435389956359e-10 -1.49032035822881 -23.3664895508357
