"" "probe.id" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1770707_at" "1770707_at" "YGR205W" 1.36691296598132e-08 7.86190783802307e-07 1.60591307516092 23.7911734635165
"1776766_at" "1776766_at" "YDL039C" 1.38377113384688e-08 7.9171994506171e-07 -2.27126845517237 -23.7535358701525
"1774126_at" "1774126_at" "YDR148C" 1.42967577503634e-08 8.10306254036385e-07 1.51897653841452 23.653610616858
"1778029_at" "1778029_at" "YBR222C" 1.43108626490687e-08 8.10306254036385e-07 1.86746908787144 23.6505977007024
"1775736_at" "1775736_at" "YMR300C" 1.46887779263846e-08 8.27303173735593e-07 -1.56937247207015 -23.5710943532378
"1775629_at" "1775629_at" "YPL109C" 1.48726750312348e-08 8.27303173735593e-07 1.84174519242325 23.5332361267479
"1769937_at" "1769937_at" "YBR084W" 1.49023961556283e-08 8.27303173735593e-07 -1.60782030704361 -23.5271670426523
"1769406_at" "1769406_at" "YDR144C" 1.49138657783594e-08 8.27303173735593e-07 -2.3241082972378 -23.5248285775426
"1769622_at" "1769622_at" "YJL047C-A" 1.52774775809582e-08 8.43193308104602e-07 -2.2341278482595 -23.4517261581203
"1771041_at" "1771041_at" "YOR152C" 1.55838157244379e-08 8.55428807962962e-07 1.53651591451629 23.3916427453867
"1778931_at" "1778931_at" "YJR096W" 1.56557248895125e-08 8.55428807962962e-07 3.18621110983789 23.3777315392452
"1774729_at" "1774729_at" "YBR241C" 1.5859228415075e-08 8.62237055323082e-07 2.55423906338278 23.3387493096437
"1770167_at" "1770167_at" "YGL253W" 1.5957263441961e-08 8.63272152939358e-07 -1.52657256122286 -23.3201706667358
"1776673_at" "1776673_at" "YNL036W" 1.67401496113033e-08 9.01164310109963e-07 2.1929751944559 23.1762661825274
"1772576_x_at" "1772576_x_at" "YAR020C" 1.69893458784845e-08 9.08800407186566e-07 1.87925251276528 23.1320448849364
"1772694_at" "1772694_at" "YKR067W" 1.70483238903044e-08 9.08800407186566e-07 1.77617201008373 23.1216857416623
"1777672_at" "1777672_at" "YOR051C" 1.73025615636077e-08 9.17875693044201e-07 -1.8188117455556 -23.0774876394942
"1778781_at" "1778781_at" "YOR185C" 1.75458848160818e-08 9.26287097923391e-07 2.54198607461972 23.0358664474254
"1774900_at" "1774900_at" "YAR028W" 1.77196023941584e-08 9.30960648862322e-07 -1.88054942109548 -23.0065471509129
"1776721_at" "1776721_at" "YHR094C" 1.79218441487968e-08 9.3287209662227e-07 -4.71930976011332 -22.9728186697177
"1778437_at" "1778437_at" "YDR085C" 1.7926714887507e-08 9.3287209662227e-07 1.82174150064142 22.9720116538625
"1772477_at" "1772477_at" "YJR124C" 1.81368470334348e-08 9.393339544141e-07 -1.90005008209589 -22.9374287230862
"1772202_at" "1772202_at" "YKL148C" 1.83718695992573e-08 9.47017881984355e-07 2.38721307293228 22.8992798641263
"1773490_at" "1773490_at" "YOL080C" 1.88635442273954e-08 9.63411692298379e-07 -1.91201483799998 -22.8212185581021
"1779897_at" "1779897_at" "YNR034W-A" 1.91699965194406e-08 9.63411692298379e-07 4.28529427974704 22.7737143470634
"1770686_at" "1770686_at" "YIL042C" 1.92005253600432e-08 9.63411692298379e-07 1.7626637142677 22.7690288537532
"1777816_at" "1777816_at" "YDL238C" 1.92600939854661e-08 9.63411692298379e-07 1.77993342611929 22.7599105062249
"1771378_at" "1771378_at" "YOR047C" 1.92758951742184e-08 9.63411692298379e-07 -2.0965760850015 -22.7574970985112
"1777707_at" "1777707_at" "YBR047W" 1.9355092384929e-08 9.63411692298379e-07 2.41668997939435 22.7454343117298
"1776354_s_at" "1776354_s_at" "YMR323W" 1.93614297944047e-08 9.63411692298379e-07 4.39442806492093 22.744471442292
"1776170_at" "1776170_at" "YMR034C" 1.93951841421709e-08 9.63411692298379e-07 2.01566198240835 22.7393489722687
"1772756_at" "1772756_at" "YGR146C" 1.99933496534028e-08 9.82422988518418e-07 2.886161189484 22.6502027389521
"1778357_at" "1778357_at" "YPL156C" 1.9995683183777e-08 9.82422988518418e-07 3.32608676607387 22.6498608719706
"1780248_at" "1780248_at" "YPR192W" 2.00476140592613e-08 9.82422988518418e-07 5.13405667920569 22.6422644934436
"1769986_at" "1769986_at" "YDL223C" 2.09558578225298e-08 1.02234649234199e-06 4.71210393541899 22.5128799324349
"1772959_at" "1772959_at" "YBR213W" 2.13116616029047e-08 1.03508372442908e-06 -1.52170153737458 -22.4639051290033
"1773758_at" "1773758_at" "YDL194W" 2.15251006720412e-08 1.04082433692065e-06 1.87863637858501 22.4349658772137
"1770656_at" "1770656_at" "YBR053C" 2.24252454715532e-08 1.07483808119795e-06 1.51766175340816 22.3163763308428
"1770886_at" "1770886_at" "YLR030W" 2.2580099221208e-08 1.07753416720245e-06 2.76141143821446 22.2965159523179
"1770764_at" "1770764_at" "YDL199C" 2.28113740631749e-08 1.08028638731318e-06 2.51442041528075 22.2671381169433
"1772181_at" "1772181_at" "YKL133C" 2.28414787352985e-08 1.08028638731318e-06 1.60273327536407 22.2633387293297
